CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
19.6091,0,18.1,0,0.671,7.313,97.9,1.3163,24,666,20.2,396.9,13.44,15
15.288,0,18.1,0,0.671,6.649,93.3,1.3449,24,666,20.2,363.02,23.24,13.9
9.82349,0.00 1,8.1,0 0,.6710 6,.7940 9,8.8,1.3580 2,4,666,20.2,396.90 2,1.24,13.3
23.6482,0,18.1,0,0.671,6.38,96.2,1.3861,24,666,20.2,396.9,23.69,13.1
17.8667,0,18.1,0,0.671,6.223,100,0 1.3861,2,4 666.,0 20.2,0 393.74,21.7,8 10.20
88.9762,0,18.1,0,0.671,6.968,91.9,1.4165,24,666,20.2,396.9,17.21,10.4
15.8744,0,18.1,0,0.671,6.545,99.1,1.5192,24,666,20.2,396.9,21.08,10.9
9.18702,0.00 1,8.1,0 0,.7000 5,.5360 1,0,1.5804,24,666,20.2,396.9,23.6,11.3
7.99248,0.00 1,8.1,0 0,.7000 5,.5200 1,0,1.5331,24,666,20.2,396.9,24.56,12.3
20.0849,0,18.1,0,0.7,4.368,91.2,1.4395,24,666,20.2,285.83,30.63,8.8
16.8118,0,18.1,0,0.7,5.277,98.1,1.4261,24,666,20.2,396.9,30.81,7.2
24.3938,0,18.1,0,0.7,4.652,100,0 1.4672,2,4 666.,0 20.2,0 396.90,28.2,8 10.50
22.5971,0,18.1,0,0.7,5,89.5,1.5184,24,666,20.2,396.9,31.99,7.4
14.3337,0,18.1,0,0.7,4.88,100,0 1.5895,2,4 666.,0 20.2,0 372.92,30.6,2 10.20
8.15174,0.00 1,8.1,0 0,.7000 5,.3900 9,8.9,1.7281 2,4,666,20.2,396.90 2,0.85,11.5
6.96215,0.00 1,8.1,0 0,.7000 5,.7130 9,7,1.9265 2,4,666,20.2,394.43 1,7.11,15.1
5.29305,0.00 1,8.1,0 0,.7000 6,.0510 8,2.5,2.1678 2,4,666,20.2,378.38 1,8.76,23.2
11.5779,0,18.1,0,0.7,5.036,97,1.77,24,666,20.2,396.9,25.68,9.7
8.64476,0.00 1,8.1,0 0,.6930 6,.1930 9,2.6,1.7912 2,4,666,20.2,396.90 1,5.17,13.8
13.3598,0,18.1,0,0.693,5.887,94.7,1.7821,24,666,20.2,396.9,16.35,12.7
8.71675,0.00 1,8.1,0 0,.6930 6,.4710 9,8.8,1.7257 2,4,666,20.2,391.98 1,7.12,13.1
5.87205,0.00 1,8.1,0 0,.6930 6,.4050 9,6,1.6768 2,4,666,20.2,396.90 1,9.37,12.5
7.67202,0.00 1,8.1,0 0,.6930 5,.7470 9,8.9,1.6334 2,4,666,20.2,393.10 1,9.92,8.5
38.3518,0,18.1,0,0.693,5.453,100,0 1.4896,2,4 666.,0 20.2,0 396.90,30.5,9 5.00
9.91655,0.00 1,8.1,0 0,.6930 5,.8520 7,7.8,1.5004 2,4,666,20.2,338.16 2,9.97,6.3
25.0461,0,18.1,0,0.693,5.987,100,0 1.5888,2,4 666.,0 20.2,0 396.90,26.7,7 5.60
14.2362,0,18.1,0,0.693,6.343,100,0 1.5741,2,4 666.,0 20.2,0 396.90,20.3,2 7.20
9.59571,0.00 1,8.1,0 0,.6930 6,.4040 1,0,1.639,24,666,20.2,376.11,20.31,12.1
24.8017,0,18.1,0,0.693,5.349,96,1.7028,24,666,20.2,396.9,19.77,8.3
41.5292,0,18.1,0,0.693,5.531,85.4,1.6074,24,666,20.2,329.46,27.38,8.5
67.9208,0,18.1,0,0.693,5.683,100,0 1.4254,2,4 666.,0 20.2,0 384.97,22.9,8 5.00
20.7162,0,18.1,0,0.659,4.138,100,0 1.1781,2,4 666.,0 20.2,0 370.22,23.3,4 11.90
11.9511,0,18.1,0,0.659,5.608,100,0 1.2852,2,4 666.,0 20.2,0 332.09,12.1,3 27.90
7.40389,0.00 1,8.1,0 0,.5970 5,.6170 9,7.9,1.4547 2,4,666,20.2,314.64 2,6.4,17.2
14.4383,0,18.1,0,0.597,6.852,100,0 1.4655,2,4 666.,0 20.2,0 179.36,19.7,8 27.50
51.1358,0,18.1,0,0.597,5.757,100,0 1.4130,2,4 666.,0 20.2,0 2.60 1,0.11,15
14.0507,0,18.1,0,0.597,6.657,100,0 1.5275,2,4 666.,0 20.2,0 35.05,21.22,17.2
18.811,0,18.1,0,0.597,4.628,100,0 1.5539,2,4 666.,0 20.2,0 28.79,34.37,17.9
28.6558,0,18.1,0,0.597,5.155,100,0 1.5894,2,4 666.,0 20.2,0 210.97,20,8 16.30
45.7461,0,18.1,0,0.693,4.519,100,0 1.6582,2,4 666.,0 20.2,0 88.27,36.98,7
18.0846,0,18.1,0,0.679,6.434,100,0 1.8347,2,4 666.,0 20.2,0 27.25,29.05,7.2
10.8342,0,18.1,0,0.679,6.782,90.8,1.8195,24,666,20.2,21.57 2,5.79,7.5
25.9406,0,18.1,0,0.679,5.304,89.1,1.6475,24,666,20.2,127.36,26.64,10.4
73.5341,0,18.1,0,0.679,5.957,100,0 1.8026,2,4 666.,0 20.2,0 16.45,20.62,8.8
11.8123,0,18.1,0,0.718,6.824,76.5,1.794,24,666,20.2,48.45 2,2.74,8.4
11.0874,0,18.1,0,0.718,6.411,100,0 1.8589,2,4 666.,0 20.2,0 318.75,15,2 16.70
7.02259,0.00 1,8.1,0 0,.7180 6,.0060 9,5.3,1.8746 2,4,666,20.2,319.98 1,5.7,14.2
12.0482,0,18.1,0,0.614,5.648,87.6,1.9512,24,666,20.2,291.55,14.1,20.8
7.05042,0.00 1,8.1,0 0,.6140 6,.1030 8,5.1,2.0218 2,4,666,20.2,2.52 23.,29 13,0.4
8.79212,0.00 1,8.1,0 0,.5840 5,.5650 7,0.6,2.0635 2,4,666,20.2,3.65 17.,16 11,0.7
15.8603,0,18.1,0,0.679,5.896,95.4,1.9096,24,666,20.2,7.68 24,.39 8,0.3
12.2472,0,18.1,0,0.584,5.837,59.7,1.9976,24,666,20.2,24.65 1,5.69,10.2
37.6619,0,18.1,0,0.679,6.202,78.7,1.8629,24,666,20.2,18.82 1,4.52,10.9
7.36711,0.00 1,8.1,0 0,.6790 6,.1930 7,8.1,1.9356 2,4,666,20.2,96.73 21,.52 1,1
9.33889,0.00 1,8.1,0 0,.6790 6,.3800 9,5.6,1.9682 2,4,666,20.2,60.72 24,.08 9,0.5
